Environment,Activation,Type,SarCategory,Lat,Long,date,Region
Land,Real distress,PLB,Category 1 SAR,-38.82,176.6745,2019-04-01,Bay of Plenty
Land,Real distress,PLB,Category 1 SAR,-45.7900012,169.0233293,2017-01-01,Otago
Water,Real distress,EPIRB,Category 1 SAR,-36.8433347,174.8311717,2017-01-01,Auckland
Land,Real distress,PLB,Category 1 SAR,-43.283333,171.057833,2019-01-01,Canterbury
Water,Real distress,PLB,Category 1 SAR,-46.2201657,170.0459994,2012-01-01,Otago
Land,Real distress,PLB,Category 1 SAR,-44.7055043,167.9811717,2015-01-01,Southland
Land,Real distress,PLB,Category 1 SAR,-44.5628347,168.1308362,2012-01-01,Southland
Air,Real distress,ELT,Category 1 SAR,-39.3759993,175.1156678,2017-02-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 1 SAR,-38.706667,177.3455,2019-01-01,Hawke's Bay
Water,Real distress,EPIRB,Category 1 SAR,-34.8145002,173.3998366,2015-02-01,Northland
Land,Real distress,PLB,Category 1 SAR,-40.696665,175.482166,2018-02-01,Manawatu-Wanganui
Land,Undetermined,PLB,Category 1 SAR,-43.501171,169.875499,2018-03-01,West Coast
Water,Real distress,EPIRB,Category 1 SAR,-42.9849955,173.2150054,2017-03-01,Canterbury
Land,Real distress,PLB,Category 1 SAR,-39.007833,174.667833,2019-02-01,Taranaki
Water,Real distress,EPIRB,Category 1 SAR,-46.6171635,168.3566653,2014-02-01,Southland
Land,Real distress,PLB,Category 1 SAR,-40.9260044,172.6616687,2014-02-01,Tasman
Water,Real distress,EPIRB,Category 1 SAR,-36.2911694,174.8111648,2015-02-01,Auckland
Land,Real distress,PLB,Category 1 SAR,-44.7989985,167.7585064,2015-03-01,Southland
Water,Real distress,PLB,Category 1 SAR,-36.4621649,174.7945015,2015-03-01,Auckland
Land,Real distress,PLB,Category 1 SAR,-40.8588354,175.4466672,2013-03-01,Wellington
Land,Real distress,PLB,Category 1 SAR,-39.0478291,174.554504,2015-03-01,Taranaki
Land,Real distress,PLB,Category 1 SAR,-41.472949,173.432123,2016-04-01,Marlborough
Land,Real distress,PLB,Category 1 SAR,-43.098124,172.963242,2016-05-01,Canterbury
Land,Real distress,PLB,Category 1 SAR,-45.553241,168.991831,2016-05-01,Southland
Land,Real distress,PLB,Category 1 SAR,-41.41828,174.901467,2016-06-01,Wellington
Land,Real distress,PLB,Category 1 SAR,-44.5499962,168.2121644,2015-04-01,Southland
Land,Real distress,PLB,Category 1 SAR,-38.4588341,177.0999958,2014-04-01,Bay of Plenty
Land,Real distress,PLB,Category 1 SAR,-44.8700007,170.4378389,2014-04-01,Canterbury
Land,Real distress,PLB,Category 1 SAR,-36.1478349,173.9355012,2016-07-01,Northland
Land,Real distress,PLB,Category 1 SAR,-37.0399956,175.68217,2015-07-01,Waikato
Land,Real distress,PLB,Category 1 SAR,-39.7533322,176.2733379,2016-09-01,Hawke's Bay
Land,Real distress,PLB,Category 1 SAR,-45.400001,170.1333387,2015-07-01,Otago
Water,Real distress,PLB,Category 1 SAR,-40.572165,172.697837,2017-12-01,Tasman
Land,Real distress,PLB,Category 1 SAR,-42.9445,171.541167,2017-12-01,Canterbury
Land,Real distress,PLB,Category 1 SAR,-45.125492,169.108694,2016-11-01,Otago
Land,Real distress,PLB,Category 1 SAR,-40.03067,176.06467,2013-07-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 1 SAR,-39.3288337,174.8211698,2014-06-01,Taranaki
Water,Real distress,PLB,Category 1 SAR,-45.596634,167.708672,2015-10-01,Southland
Land,Real distress,PLB,Category 1 SAR,-37.969146,175.033267,2015-10-01,Waikato
Land,Real distress,PLB,Category 1 SAR,-41.3011623,173.9521721,2013-08-01,Marlborough
Land,Real distress,PLB,Category 1 SAR,-43.5581668,170.119506,2014-10-01,West Coast
Land,Real distress,PLB,Category 1 SAR,-39.2933335,174.064498,2013-10-01,Taranaki
Land,Real distress,PLB,Category 1 SAR,-39.5644994,174.4688371,2014-11-01,Taranaki
Land,Real distress,PLB,Category 1 SAR,-44.6611679,168.1721631,2013-11-01,Southland
Land,Real distress,PLB,Category 1 SAR,-40.9833306,175.351162,2014-11-01,Wellington
Land,Real distress,PLB,Category 1 SAR,-41.2733328,175.5021658,2014-11-01,Wellington
Land,Real distress,PLB,Category 1 SAR,-43.7170033,169.5688274,2013-12-01,West Coast
Land,Real distress,PLB,Category 1 SAR,-38.991167,175.8088386,2013-12-01,Waikato
Water,Malfunction,EPIRB,Category 2 SAR,-41.3333304,174.7833328,2013-01-01,Wellington
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.8111653,174.3108379,2015-01-01,Northland
Land,Deliberate but questionable need for SAROP,PLB,Category 2 SAR,-40.9478299,175.2999953,2016-01-01,Wellington
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-24.677506,133.945079,2017-01-01,Unknown
Water,Real distress,EPIRB,Category 2 SAR,-21.78295,-175.487663,2018-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-40.230577,176.080308,2019-01-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-39.2844971,174.9055017,2013-01-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-40.7418327,172.2975056,2015-01-01,Tasman
Water,Malfunction,EPIRB,Category 2 SAR,-35.7291707,174.3131637,2016-01-01,Northland
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.201013,174.1493,2018-01-01,Northland
Land,Real distress,PLB,Category 2 SAR,-44.6216665,168.2785012,2012-01-01,Otago
Not Determined,Outside NZSRR,ELT,Category 2 SAR,63.927811,-154.087568,2016-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-41.1813352,172.3693279,2017-01-01,West Coast
Water,Undetermined,EPIRB,Category 2 SAR,-21.78295,-175.487663,2018-01-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-17.743317,168.258303,2018-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.8045,168.863333,2019-01-01,Otago
Water,Undetermined,EPIRB,Category 2 SAR,-41.18677,174.9464776,2012-01-01,Wellington
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.6388351,174.437831,2014-01-01,Auckland
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-43.5766709,170.1511695,2015-01-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-39.931829,175.0556647,2016-01-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-38.1078325,178.1366645,2017-01-01,Gisborne
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-44.733333,171.043333,2019-01-01,Canterbury
Air,Mishandling / inadvertent,PLB,Category 2 SAR,-38.80133333,174.8686667,2011-01-01,Manawatu-Wanganui
Water,Real distress,PLB,Category 2 SAR,-39.6021669,176.7188286,2014-01-01,Hawke's Bay
Land,Real distress,EPIRB,Category 2 SAR,-44.7044964,169.835502,2015-01-01,Otago
Water,Malfunction,EPIRB,Category 2 SAR,-37.0030024,175.8450014,2016-01-01,Waikato
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-39.2499971,171.578829,2017-01-01,Unknown
Water,Real distress,EPIRB,Category 2 SAR,-39.51117,177.120006,2018-01-01,Hawke's Bay
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.995,174.788333,2019-01-01,Auckland
Water,Undetermined,EPIRB,Category 2 SAR,-34.642,-108.822,2012-01-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-17.528667,-149.577667,2013-01-01,Unknown
Water,Real distress,PLB,Category 2 SAR,-39.6033363,176.7199974,2014-01-01,Hawke's Bay
Land,Real distress,EPIRB,Category 2 SAR,-42.3678313,172.9654963,2015-01-01,Marlborough
Land,Real distress,PLB,Category 2 SAR,-42.8055033,171.6178293,2016-01-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-41.4711677,172.5688377,2017-01-01,Tasman
Land,Real distress,PLB,Category 2 SAR,-42.998334,171.882162,2018-01-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-40.973333,172.983333,2019-01-01,Tasman
