"Id","date","Environment","SarCategory","Response","SarSquadId","PoliceEventNumber","LocationFindLocationLatitude","LocationFindLocationLongitude","Status","TotalHours","TotalPeople","District","Area","reporting_lag_days"
1,2012-11-01,"Land","Cat1","SAROP",5,"P012121455",-38.82251553,176.0452161,"Closed",NA,NA,"Bay of Plenty District","Taupo",0
2,2018-03-01,"Land","Cat1","SAROP",4,"P033011777",-38.606499,176.761929,"Closed",NA,NA,"Bay of Plenty District","Rotorua",0
3,2017-05-01,"Land","Cat1","SAROP",1,"P029696288",-35.7175158,174.3261059,"Closed",NA,NA,"Northland District","Whangarei",0
4,2012-09-01,"Marine","Cat1","SAROP",3,"P011823276",-36.8258367,175.4419905,"Closed",NA,NA,"Waikato District","Waikato East",0
5,2011-05-01,"Land","Cat1","SAROP",17,"p008074238",-43.53474225,172.5457809,"Closed",NA,NA,"Canterbury District","Canterbury Metro",0
6,2012-07-01,"Land","Cat1","SAROP",14,"P011208975",-40.95672744,173.0573693,"Closed",NA,NA,"Tasman District","Nelson Bays",0
7,2011-04-01,"Marine","Cat1","SAROP",3,"p007950561",-36.91000035,175.3983327,"Closed",NA,NA,"Waikato District","Waikato East",0
8,2013-09-01,"Marine","Cat1","SAROP",8,"P014984422",-39.5098296,176.9186651,"Closed",NA,NA,"Eastern District","Hawkes Bay",0
9,2014-08-01,"Marine","Cat1","SAROP",4,"P018182833",-37.954127,176.989831,"Closed",NA,NA,"Bay of Plenty District","Eastern Bay of Plenty",0
10,2017-11-01,"Land","Cat1","SAROP",18,"P031481175",-43.598045,170.127165,"Closed",NA,NA,"Canterbury District","Mid-South Canterbury",0
11,2019-03-01,"Land","Cat1","SAROP",17,"P036918576",-43.2704008,172.0934468,"Closed",NA,NA,"Canterbury District","Canterbury Metro",0
12,2011-02-01,"Marine","Cat1","SAROP",5,"P999900043",-38.680873,175.81879,"Closed",NA,NA,"Bay of Plenty District","Taupo",0
13,2017-07-01,"Marine","Cat1","SAROP",2,"P030270130",-36.275448,174.797836,"Closed",NA,NA,"Waitemata District","Rodney",0
14,2011-02-01,"Marine","Cat1","SAROP",2,"P007637035",-36.8666649,175.0666695,"Closed",NA,NA,"Counties Manukau District","Counties/Manukau East",0
