Environment,SarCategory,Response,date,LocationFindLocationLatitude,LocationFindLocationLongitude
Land,Cat1,SAROP,2012-11-01,-38.82251553,176.0452161
Land,Cat1,SAROP,2018-03-01,-38.606499,176.761929
Land,Cat1,SAROP,2017-05-01,-35.7175158,174.3261059
Marine,Cat1,SAROP,2012-09-01,-36.8258367,175.4419905
Land,Cat1,SAROP,2011-05-01,-43.53474225,172.5457809
Land,Cat1,SAROP,2012-07-01,-40.95672744,173.0573693
Land,Cat1,SAROP,2011-04-01,-36.91000035,175.3983327
Land,Cat1,SAROP,2013-09-01,-39.5098296,176.9186651
Land,Cat1,SAROP,2014-08-01,-37.954127,176.989831
Land,Cat1,SAROP,2017-11-01,-43.598045,170.127165
Land,Cat1,SAROP,2019-03-01,-43.2704008,172.0934468
Marine,Cat1,SAROP,2011-02-01,-38.680873,175.81879
Land,Cat1,SAROP,2017-07-01,-36.275448,174.797836
Marine,Cat1,SAROP,2011-02-01,-36.8666649,175.0666695
Land,Cat1,SAROP,2018-09-01,-36.629146,174.726547
Land,Cat1,SAROP,2011-01-01,-35.773745,174.396801
Land,Cat1,SAROP,2016-06-01,-38.3636685,175.7735983
Marine,Cat1,SAROP,2015-12-01,-38.714257,176.063207
Land,Cat1,SAROP,2011-06-01,-38.38432136,177.8298206
Land,Cat1,SAROP,2011-12-01,-41.30062322,174.7723962
Land,Cat1,SAROP,2013-01-01,-45.91061569,170.5350125
Land,Cat1,SAROP,2014-01-01,-39.2898,174.0726
Land,Cat1,SAROP,2015-02-01,-36.84758,174.730368
Land,Cat1,SAROP,2010-10-01,-38.12901306,176.2444418
Land,Cat1,SAROP,2014-08-01,-41.3480775,172.9378418
Land,Cat1,SAROP,2012-04-01,-41.17046895,172.9090416
Marine,Cat1,SAROP,2014-01-01,-41.344202,174.3087079
Land,Cat1,SAROP,2015-01-01,-38.7951451,176.9870551
Land,Cat1,SAROP,2019-01-01,-39.134444,175.650833
Land,Cat1,SAROP,2015-08-01,-41.2056303,174.9256402
Land,Cat1,SAROP,2018-03-01,-43.243333,172.065494
Land,Cat1,SAROP,2017-01-01,-41.210821,173.068628
Land,Cat1,SAROP,2014-02-01,-39.2772618,175.6084421
Land,Cat1,SAROP,2017-07-01,-38.67042,178.040038
Land,Cat1,SAROP,2014-02-01,-41.1500019,173.0800018
Land,Cat1,SAROP,2015-02-01,-42.7527509,172.1452398
